port_a,port_b,lag,corr,pval
Yokohama,Nagoya,1,0.2534,0.0
Chiba,Yokohama,1,0.2378,0.0
Nagoya,Kobe,1,0.2287,0.0
Chiba,Nagoya,1,0.2256,0.0
Mizushima,Nagoya,1,0.2233,0.0
Nagoya,Yokohama,1,0.2191,0.0
Kobe,Yokohama,1,0.2136,0.0
Kobe,Nagoya,1,0.2115,0.0
Sakai-Semboku,Kobe,1,0.2054,0.0
Chiba,Kobe,1,0.1985,0.0
Yokohama,Kobe,1,0.1975,0.0
Ningbo,Shanghai (Pudong),1,0.1942,0.0
Sakai-Semboku,Nagoya,1,0.1942,0.0
Mizushima,Yokohama,1,0.1848,0.0
Chiba,Mizushima,1,0.1818,0.0
Ulsan,Nagoya,1,0.1692,0.0
Sakai-Semboku,Yokohama,1,0.1679,0.0
Mizushima,Sakai-Semboku,1,0.1676,0.0
Nagoya,Sakai-Semboku,1,0.1645,0.0
Mizushima,Kobe,1,0.1635,0.0
Nagoya,Chiba,1,0.155,0.0
Mizushima,Nagoya,2,0.1536,0.0
Chiba,Sakai-Semboku,1,0.1531,0.0
Mizushima,Yokohama,2,0.1499,0.0
Mizushima,Chiba,1,0.1476,0.0
Ulsan,Mizushima,1,0.1455,0.0
Qingdao,Ningbo,1,0.1401,0.0
Yokohama,Sakai-Semboku,1,0.1392,0.0
Hong Kong,Guangzhou (Nansha),1,0.1377,0.0
Yokohama,Nagoya,2,0.1372,0.0
Sakai-Semboku,Chiba,1,0.1371,0.0
Shanghai (Pudong),Ningbo,1,0.1352,0.0
Chiba,Nagoya,2,0.1341,0.0
Yokohama,Mizushima,1,0.1332,0.0
Sakai-Semboku,Mizushima,1,0.1322,0.0
Yokohama,Kobe,2,0.1297,0.0
Nagoya,Mizushima,1,0.1295,0.0
Kobe,Mizushima,1,0.1278,0.0
Yokohama,Chiba,1,0.1257,0.0
Kobe,Sakai-Semboku,1,0.1226,0.0
Busan,Nagoya,1,0.1207,0.0
Sakai-Semboku,Nagoya,2,0.1197,0.0
Ningbo,Busan,1,0.1193,0.0
Busan,Gwangyang (Kwangyang),1,0.1153,0.0
Chiba,Yokohama,2,0.1143,0.0
Kobe,Chiba,1,0.1104,0.0
